股票代码,股票简称,个股热度排名,个股热度排名排名,个股热度,涨跌幅:前复权_0,涨跌幅:前复权_1,涨跌幅:前复权_2,涨跌幅:前复权_3,开盘价:前复权_0,开盘价:前复权_1,开盘价:前复权_2,开盘价:前复权_3,最低价:前复权_0,最低价:前复权_1,最低价:前复权_2,最低价:前复权_3,最高价:前复权_0,最高价:前复权_1,最高价:前复权_2,最高价:前复权_3,n+4天涨跌幅日期,n+2天热度排名日期,查询条件
600072.SH,中船科技,138,138/5360,3687974.0,-10.01317523,7.02781845,2.04678363,-1.21776504,14.79,13.53,13.83,13.78,13.66,13.21,13.61,13.58,14.79,14.83,14.18,14.21,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
600036.SH,招商银行,142,142/5360,3617040.5,-7.475,4.6473926,2.34192037,-2.11034833,39.7,37.4,39.01,39.17,37.01,37.4,38.69,38.5,39.72,39.5,39.8,39.99,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
600887.SH,伊利股份,148,148/5360,3543093.5,-8.39088398,4.10855635,0.03656307,-3.14327485,28.5,26.6,27.32,27.2,26.53,26.6,26.61,26.5,28.5,28.48,27.49,27.34,20241015,20241010,20241009下跌 20241010上涨 20241010热度排名前50 20241014上涨 20241015涨幅 主板 非ST
002261.SZ,拓维信息,9,9/5360,22362790.5,-5.0,10.01053741,0.2394636,0.47778309,20.5,18.6,20.78,20.0,18.0,17.68,19.98,,21.68,20.88,22.81,22.0,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002583.SZ,海能达,14,14/5360,18629090.5,-6.07187113,5.03597122,10.0456621,9.95850622,8.6,9.17,8.9,9.45,7.26,7.6,8.9,,8.85,9.17,9.64,10.6,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002693.SZ,双成药业,28,28/5360,10125875.5,-10.0,9.97506234,9.97732426,10.0,21.78,15.4,18.88,20.3,17.82,15.4,18.19,,21.78,17.64,19.4,21.34,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
600550.SH,保变电气,29,29/5360,9975738.5,-8.875129,9.97782705,4.03225806,5.23255814,9.44,8.96,9.83,10.19,8.78,8.91,9.6,,9.79,9.92,10.9,11.25,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002786.SZ,银宝山新,36,36/5360,8654079.0,-1.18443316,10.03787879,3.01204819,-2.67335004,11.85,11.62,11.77,11.11,11.0,11.25,11.64,,12.2,11.62,12.56,12.2,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002130.SZ,沃尔核材,43,43/5360,7501124.0,-5.13149455,10.03508772,8.92857143,-6.79156909,15.98,14.35,16.75,16.4,14.5,14.12,16.72,,15.99,15.68,17.25,16.54,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
600622.SH,光大嘉宝,44,44/5360,7268866.5,-5.46875,10.15037594,9.89761092,9.9378882,2.55,2.93,3.22,3.25,2.3,2.93,3.22,,2.62,2.93,3.22,3.54,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002457.SZ,青龙管业,46,46/5360,7097523.0,-4.07279029,9.97442455,10.0,10.00704722,12.4,11.73,12.89,14.42,11.01,11.4,12.52,,12.69,12.9,14.19,15.61,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002640.SZ,跨境通,62,62/5360,6120140.5,-8.30188679,10.07751938,9.85915493,0.32051282,2.47,2.66,2.84,3.12,2.4,2.51,2.75,,2.66,2.84,3.12,3.37,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002987.SZ,京北方,64,64/5360,5797628.0,-6.23806493,2.77777778,0.24024024,-8.62792091,15.71,17.0,16.0,15.78,14.31,16.17,16.0,,15.9,17.78,17.97,15.88,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
600619.SH,海立股份,72,72/5360,5587983.0,-8.87174542,2.33333333,4.34310532,1.76899063,11.0,8.88,9.09,9.5,9.41,8.88,9.01,,11.41,9.53,9.86,10.23,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
000004.SZ,国华网安,73,73/5360,5577754.5,-6.56346749,10.0,1.20481928,-1.78571429,15.6,17.12,18.26,17.63,14.59,16.02,17.5,,16.0,18.26,20.0,19.24,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
600570.SH,恒生电子,77,77/5360,5343474.5,-8.02023121,6.67236955,2.56615878,0.0,28.0,23.52,24.45,24.84,25.0,22.49,24.25,,28.12,25.52,27.3,26.44,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002085.SZ,万丰奥威,84,84/5360,4827937.0,-3.86178862,8.23970037,3.0449827,-2.14909335,14.76,13.47,14.1,14.53,13.85,13.29,13.85,,14.99,14.5,15.58,14.94,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
601933.SH,永辉超市,88,88/5360,4709978.0,-10.02785515,2.74914089,4.01337793,-3.8585209,3.42,2.85,2.95,3.01,3.23,2.83,2.92,,3.47,3.04,3.2,3.08,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
600657.SH,信达地产,91,91/5360,4623583.5,-4.28571429,10.12345679,10.0896861,9.9796334,4.05,4.46,4.7,4.87,3.78,4.46,4.6,,4.25,4.46,4.91,5.4,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
603038.SH,华立股份,92,92/5360,4606304.0,-2.70906949,10.0110011,10.0,10.0,8.35,9.64,10.76,12.1,8.12,9.36,10.16,,8.6,10.0,11.0,12.1,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
000977.SZ,浪潮信息,95,95/5360,4507341.5,-4.46759259,2.40506329,3.31273177,-2.10576693,43.5,39.62,42.29,40.7,40.56,38.8,41.71,,43.99,40.59,44.15,41.66,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002094.SZ,青岛金王,97,97/5360,4378568.0,-0.37037037,10.13513514,10.12269939,-1.67130919,2.7,3.26,3.28,3.71,2.61,3.01,3.25,,2.78,3.26,3.59,3.95,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002625.SZ,光启技术,130,130/5360,3595105.0,-4.81626828,4.34944238,8.65692911,-6.06557377,26.567,27.897,27.667,30.267,25.117,26.507,27.417,,28.267,28.247,30.647,30.937,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
001696.SZ,宗申动力,131,131/5360,3593989.0,-2.52263907,5.71221981,0.20519836,-0.9556314,15.4,13.9,14.27,14.25,14.5,13.64,13.96,,16.07,14.66,15.26,14.75,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
002512.SZ,达华智能,147,147/5360,3248484.5,-4.91452991,10.09615385,3.27510917,4.65116279,4.8,4.16,4.76,4.64,4.33,4.11,4.63,,4.83,4.58,4.91,5.04,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
603160.SH,汇顶科技,149,149/5360,3204774.5,-5.64593301,10.00403388,2.87250947,-4.47956274,83.0,74.43,82.97,81.01,76.15,73.38,82.0,,83.0,81.81,88.87,83.0,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
600203.SH,福日电子,150,150/5360,3190040.0,-4.875,10.0,9.97474747,9.98851894,7.8,7.21,8.5,8.86,7.4,7.2,8.27,,8.15,7.92,8.71,9.58,20241016,20241014,20241010下跌 20241014上涨 20241014热度排名前50 20241015上涨 20241016涨幅 主板 非ST
601162.SH,天风证券,4,4/5360,40606345.0,-0.23255814,3.4965035,3.82882883,-5.85683297,4.26,4.15,4.3,4.56,3.96,4.13,4.3,4.3,4.37,4.71,4.7,4.6,20241017,20241015,20241014下跌 20241015上涨 20241015热度排名前50 20241016上涨 20241017涨幅 主板 非ST
002537.SZ,海联金汇,119,119/5360,3834508.0,-3.19148936,5.96546311,10.07407407,-4.84522207,6.75,6.15,6.59,7.43,5.96,6.15,6.53,7.02,6.75,7.01,7.43,7.75,20241017,20241015,20241014下跌 20241015上涨 20241015热度排名前50 20241016上涨 20241017涨幅 主板 非ST
600839.SH,四川长虹,9,9/5360,23539951.0,-1.45631068,10.01642036,10.0,10.04070556,6.1,6.01,6.91,7.79,5.96,5.98,6.7,7.5,6.31,6.7,7.37,8.11,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
600837.SH,海通证券,14,14/5360,14550053.5,-7.27739726,7.57156048,8.15450644,6.2052506,11.05,10.73,11.56,12.56,10.8,10.69,11.43,12.15,11.46,11.88,12.79,13.83,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
000062.SZ,深圳华强,16,16/5360,13632696.5,-2.14285714,9.98847484,9.98952148,-1.61956177,26.5,25.3,30.58,31.87,25.99,25.29,30.0,29.24,27.71,28.63,31.49,33.0,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
600611.SH,大众交通,20,20/5360,12438046.0,-4.0942928,1.55239327,10.06369427,-0.5787037,7.81,7.52,7.72,8.56,7.69,7.37,7.72,8.3,8.14,8.0,8.64,8.95,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
601211.SH,国泰君安,29,29/5360,9570926.5,-5.31299316,3.22222222,3.22927879,5.68300313,17.85,17.55,18.43,18.75,17.57,17.55,18.07,18.26,18.43,19.41,19.93,20.95,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
600418.SH,江淮汽车,69,69/5360,5943017.0,-3.65437158,2.90677065,4.89149156,10.01642036,29.23,27.9,29.6,32.0,28.09,27.82,29.28,30.18,29.78,29.56,31.15,33.5,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
000810.SZ,创维数字,98,98/5360,4688346.0,-3.02457467,10.03898635,0.62001771,4.48943662,10.59,10.02,11.33,11.2,10.25,10.01,11.02,11.16,10.77,11.29,11.62,12.1,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
002272.SZ,川润股份,120,120/5360,4056411.5,-1.00334448,9.96621622,9.98463902,10.05586592,5.98,5.91,6.59,7.88,5.86,5.78,6.21,7.88,6.23,6.51,7.16,7.88,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
601005.SH,重庆钢铁,126,126/5360,3759526.0,-2.34375,10.4,0.72463768,-2.87769784,1.27,1.24,1.46,1.33,1.25,1.23,1.39,1.29,1.29,1.38,1.5,1.39,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
600101.SH,明星电力,129,129/5360,3627418.5,-3.44827586,9.97536946,5.71108623,-1.80084746,8.3,8.02,9.14,9.01,8.06,7.98,8.78,8.9,8.32,8.93,9.82,9.63,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
601107.SH,四川成渝,135,135/5360,3456846.0,-2.8957529,9.94035785,9.94575045,-3.45394737,5.2,5.05,5.92,5.75,4.95,5.05,5.66,5.55,5.2,5.53,6.08,5.95,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
600505.SH,西昌电力,145,145/5360,3270423.0,-1.62271805,10.0,0.18744142,-2.99345182,9.64,9.42,10.96,10.31,9.35,9.4,10.1,9.96,9.92,10.67,11.5,10.64,20241018,20241016,20241015下跌 20241016上涨 20241016热度排名前50 20241017上涨 20241018涨幅 主板 非ST
002456.SZ,欧菲光,14,14/5363,20189447.5,-1.92113246,10.0,10.02811621,9.96592845,9.58,9.8,11.2,12.59,9.58,9.76,11.13,12.45,9.96,10.67,11.74,12.91,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
000617.SZ,中油资本,20,20/5363,15626427.0,-9.33488915,3.98970399,0.37128713,9.98766954,8.01,7.77,8.01,8.3,7.72,7.6,7.65,8.08,8.59,8.13,8.49,8.92,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
603019.SH,中科曙光,24,24/5363,13714457.0,-4.25864427,6.14160375,6.1514802,2.08257878,48.99,50.7,51.5,56.5,48.66,50.26,51.35,56.16,50.26,53.85,56.88,59.11,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002130.SZ,沃尔核材,35,35/5363,10562835.0,-6.79156909,9.1080402,7.88716177,1.38740662,16.4,16.01,17.54,18.69,15.76,15.95,17.54,17.96,16.54,17.51,19.11,19.85,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
001696.SZ,宗申动力,39,39/5363,9753992.0,-0.9556314,7.64989662,9.9871959,10.01164144,14.25,14.6,15.3,18.32,14.02,14.56,15.05,18.06,14.75,15.96,17.18,18.9,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002607.SZ,中公教育,47,47/5363,8117898.0,-2.10526316,4.30107527,0.68728522,5.11945392,2.76,2.8,2.83,2.91,2.75,2.78,2.75,2.89,2.89,3.03,3.0,3.14,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002625.SZ,光启技术,49,49/5363,8107200.0,-6.06557377,9.9929627,7.16570697,10.0,30.267,29.1,32.51,35.83,27.567,28.51,31.02,35.18,30.937,31.26,34.25,36.85,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002094.SZ,青岛金王,50,50/5363,8056240.5,-1.67130919,9.91501416,2.83505155,10.02506266,3.71,3.25,3.9,3.88,3.5,3.25,3.73,3.88,3.95,3.88,4.24,4.39,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002600.SZ,领益智造,54,54/5363,7583346.5,-2.41423126,5.078125,4.58488228,0.35545024,7.66,7.67,7.91,8.5,7.55,7.65,7.84,8.19,8.12,8.3,8.88,8.8,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002405.SZ,四维图新,61,61/5363,6690017.0,-1.34529148,2.27272727,8.55555556,1.53531218,8.72,9.15,8.81,9.88,8.68,8.98,8.72,9.7,8.99,9.38,9.9,10.1,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
000066.SZ,中国长城,62,62/5363,6659841.0,-1.144641,10.0,1.9138756,3.4741784,9.48,10.45,11.0,10.52,9.38,10.45,9.99,10.52,9.64,10.45,11.0,11.38,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
000977.SZ,浪潮信息,63,63/5363,6612483.0,-2.10576693,1.75996089,4.25174153,0.50691244,40.7,41.45,41.63,43.82,40.58,41.18,41.31,43.41,41.66,43.23,44.77,45.15,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
000004.SZ,国华网安,65,65/5363,6438142.5,-1.78571429,10.02754821,10.01502253,6.59990897,17.63,19.96,21.17,20.67,17.5,19.08,20.81,20.51,19.24,19.97,21.97,24.11,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002085.SZ,万丰奥威,77,77/5363,5990809.0,-2.14909335,1.23541524,5.15254237,9.99355255,14.53,14.57,14.5,15.51,14.26,14.45,14.41,15.45,14.94,15.3,16.08,17.06,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
600733.SH,北汽蓝谷,101,101/5363,5017777.5,-1.38888889,1.83098592,3.59612725,-1.60213618,7.08,7.18,7.25,7.49,7.01,7.14,7.11,7.32,7.25,7.38,7.6,7.49,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
002230.SZ,科大讯飞,110,110/5363,4714512.5,-0.11614402,3.25581395,3.22072072,0.7636919,42.24,43.3,44.01,46.22,42.06,43.1,43.05,45.83,43.56,45.64,47.51,47.0,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
601360.SH,三六零,123,123/5363,4196563.5,-0.97442144,3.56703567,1.3064133,1.75849941,8.08,8.4,8.4,8.53,8.03,8.31,8.12,8.53,8.26,8.75,8.76,8.81,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
600536.SH,中国软件,143,143/5363,3492537.0,-0.37678975,1.9667171,6.18199802,-0.32603633,39.0,42.07,40.0,42.9,38.8,40.01,39.36,41.9,40.52,42.77,44.25,43.88,20241021,20241017,20241016下跌 20241017上涨 20241017热度排名前50 20241018上涨 20241021涨幅 主板 非ST
601162.SH,天风证券,3,3/5363,42130079.5,-5.85683297,9.9078341,4.61215933,10.02004008,4.56,4.28,4.7,4.86,4.3,4.25,4.61,4.82,4.6,4.77,5.21,5.49,20241022,20241018,20241017下跌 20241018上涨 20241018热度排名前50 20241021上涨 20241022涨幅 主板 非ST
600171.SH,上海贝岭,18,18/5363,17768683.5,-1.09424638,9.99286224,9.99351071,10.0,28.85,27.86,33.9,37.29,27.88,27.81,33.9,36.5,29.04,30.82,33.9,37.29,20241022,20241018,20241017下跌 20241018上涨 20241018热度排名前50 20241021上涨 20241022涨幅 主板 非ST
600460.SH,士兰微,24,24/5363,13909480.5,-0.73469388,8.96381579,0.79245283,9.99625608,25.0,24.3,27.05,26.21,24.27,24.25,26.66,26.1,25.21,26.75,28.5,29.38,20241022,20241018,20241017下跌 20241018上涨 20241018热度排名前50 20241021上涨 20241022涨幅 主板 非ST
000628.SZ,高新发展,36,36/5363,9806663.5,-7.94641498,3.0097569,2.58468454,1.53364632,59.22,61.3,60.0,64.03,59.12,61.3,60.0,62.18,63.33,64.4,68.38,67.51,20241022,20241018,20241017下跌 20241018上涨 20241018热度排名前50 20241021上涨 20241022涨幅 主板 非ST
600550.SH,保变电气,37,37/5363,9694548.5,-6.99815838,5.84158416,4.77081384,-0.26785714,11.13,10.0,10.69,11.0,9.83,9.61,10.5,10.3,11.25,11.0,11.64,11.69,20241022,20241018,20241017下跌 20241018上涨 20241018热度排名前50 20241021上涨 20241022涨幅 主板 非ST
600895.SH,张江高科,39,39/5363,9452545.5,-4.45205479,10.01596169,2.24882118,-2.94430649,25.528,25.11,28.84,27.56,24.868,23.86,27.8,27.0,25.768,27.57,30.01,28.7,20241022,20241018,20241017下跌 20241018上涨 20241018热度排名前50 20241021上涨 20241022涨幅 主板 非ST
